2026-03-05 17:57:42,877 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-05 22:32:07,689 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-05 22:40:30,078 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-05 22:40:31,594 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-05 22:40:31,903 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-05 23:13:29,070 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-05 23:13:33,233 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-05 23:13:33,722 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-05 23:33:28,841 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-05 23:33:35,408 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-05 23:33:36,188 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-05 23:41:19,430 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-05 23:41:21,027 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-05 23:41:21,310 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-05 23:56:10,946 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-05 23:56:12,353 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-05 23:56:12,612 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 00:13:01,922 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 00:13:04,470 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 00:13:05,146 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 00:13:37,230 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 00:13:38,960 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 00:13:39,270 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 00:16:04,221 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 00:16:06,376 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 00:16:06,790 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 00:36:06,297 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 00:36:19,253 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 00:36:20,553 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 00:41:07,741 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 00:41:09,614 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 00:41:09,983 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 01:20:36,956 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 01:20:38,504 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 01:20:38,803 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 01:43:36,295 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 01:43:37,863 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 01:43:38,142 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 01:44:19,746 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 01:44:21,430 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 01:44:21,752 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 01:48:55,204 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 01:48:56,818 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 01:48:57,133 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 02:04:25,902 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 02:04:27,463 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 02:04:27,785 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 02:09:59,264 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 02:10:04,249 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 02:10:05,370 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 02:10:17,579 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 02:10:22,588 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 02:10:23,678 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 02:12:43,244 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 02:12:44,667 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 02:12:44,965 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 02:15:29,472 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 02:15:31,041 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 02:15:31,346 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 02:20:19,802 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 02:20:21,313 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 02:20:21,599 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 02:25:21,925 | WARNING | Fitter:269 | post_correct_update_matrix: fit_Psych_curve returned None at interval 6, filling with NaNs
2026-03-06 02:38:11,682 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 02:38:13,302 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 02:38:13,627 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 02:52:41,785 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 02:52:43,413 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 02:52:43,723 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 02:53:50,634 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 02:53:52,188 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 02:53:52,481 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 03:00:15,763 | WARNING | Fitter:269 | post_correct_update_matrix: fit_Psych_curve returned None at interval 1, filling with NaNs
2026-03-06 03:02:13,757 | WARNING | Fitter:269 | post_correct_update_matrix: fit_Psych_curve returned None at interval 4, filling with NaNs
2026-03-06 03:07:05,638 | WARNING | Fitter:269 | post_correct_update_matrix: fit_Psych_curve returned None at interval 1, filling with NaNs
2026-03-06 03:12:06,688 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 03:12:08,532 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 03:12:08,843 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 03:14:34,276 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 03:14:35,735 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 03:14:35,983 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 03:15:08,873 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 03:15:10,435 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 03:15:10,718 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 03:22:32,723 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 03:22:34,358 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 03:22:34,677 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 03:25:43,944 | WARNING | Fitter:269 | post_correct_update_matrix: fit_Psych_curve returned None at interval 1, filling with NaNs
2026-03-06 03:27:17,519 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 03:27:19,108 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 03:27:19,388 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 03:32:29,282 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 03:32:30,785 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 03:32:31,058 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 03:32:42,931 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 03:32:44,439 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 03:32:44,726 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 03:36:50,474 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 03:36:52,097 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 03:36:52,440 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 03:38:25,878 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 03:38:27,374 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 03:38:27,637 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 03:43:42,066 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 03:43:43,586 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 03:43:43,889 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 03:44:37,292 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 03:44:38,849 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 03:44:39,112 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 03:52:18,140 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 03:52:19,815 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 03:52:20,133 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 03:53:50,922 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 03:53:52,460 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 03:53:52,736 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 03:54:16,722 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 03:54:18,338 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 03:54:18,651 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 03:54:35,313 | WARNING | Fitter:269 | post_correct_update_matrix: fit_Psych_curve returned None at interval 0, filling with NaNs
2026-03-06 03:54:49,420 | WARNING | Fitter:269 | post_correct_update_matrix: fit_Psych_curve returned None at interval 0, filling with NaNs
2026-03-06 03:55:45,714 | WARNING | Fitter:269 | post_correct_update_matrix: fit_Psych_curve returned None at interval 0, filling with NaNs
2026-03-06 04:01:09,053 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 04:01:10,591 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 04:01:10,934 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 04:02:02,138 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 04:02:03,849 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 04:02:04,168 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 04:07:59,219 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 04:08:04,260 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 04:08:06,658 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 04:11:23,077 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 04:11:27,140 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 04:11:28,056 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 04:12:23,912 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 04:12:28,319 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 04:12:29,210 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 04:12:45,825 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 04:12:50,082 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 04:12:51,083 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 04:15:07,614 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 04:15:09,478 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 04:15:09,852 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 04:22:23,709 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 04:22:25,296 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 04:22:25,591 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 04:48:30,383 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 04:48:32,024 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 04:48:32,345 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 06:41:02,263 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 06:41:03,948 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 06:41:04,261 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 06:54:49,673 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 06:54:51,279 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 06:54:51,575 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 07:03:11,979 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 07:03:13,402 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 07:03:13,711 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 07:04:42,676 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 07:04:44,119 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 07:04:44,384 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 07:10:06,651 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 07:10:15,799 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
:10:12,881 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 07:10:20,445 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 07:10:21,588 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 07:19:08,896 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 07:19:10,480 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 07:19:10,785 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 07:26:41,117 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 07:26:42,718 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 07:26:43,020 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 07:30:18,997 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 07:30:20,640 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 07:30:20,952 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 07:33:20,107 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 07:33:21,573 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 07:33:21,891 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 07:36:30,438 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 07:36:32,042 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 07:36:32,338 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 07:42:44,778 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 07:42:46,461 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
